,index,latitude,longitude
564,564,33.75,-105.25
565,565,33.75,-104.75
566,566,33.75,-104.25
567,567,33.75,-103.75
568,568,33.75,-103.25
569,569,33.75,-102.75
570,570,33.75,-102.25
571,571,33.75,-101.75
572,572,33.75,-101.25
573,573,33.75,-100.75
574,574,33.75,-100.25
575,575,33.75,-99.75
576,576,33.75,-99.25
577,577,33.75,-98.75
578,578,33.75,-98.25
579,579,33.75,-97.75
580,580,33.75,-97.25
581,581,33.75,-96.75
582,582,33.75,-96.25
583,583,33.75,-95.75
584,584,33.75,-95.25
585,585,33.75,-94.75
586,586,33.75,-94.25
587,587,33.75,-93.75
588,588,33.75,-93.25
589,589,33.75,-92.75
590,590,33.75,-92.25
591,591,33.75,-91.75
592,592,33.75,-91.25
593,593,33.75,-90.75
594,594,33.75,-90.25
595,595,33.75,-89.75
596,596,33.75,-89.25
597,597,33.75,-88.75
598,598,33.75,-88.25
599,599,33.75,-87.75
600,600,33.75,-87.25
601,601,33.75,-86.75
602,602,33.75,-86.25
603,603,33.75,-85.75
604,604,33.75,-85.25
605,605,33.75,-84.75
606,606,33.75,-84.25
607,607,33.75,-83.75
608,608,33.75,-83.25
609,609,33.75,-82.75
610,610,33.75,-82.25
611,611,33.75,-81.75
612,612,33.75,-81.25
613,613,33.75,-80.75
614,614,33.75,-80.25
615,615,33.75,-79.75
616,616,33.75,-79.25
617,617,34.25,-119.25
618,618,34.25,-118.75
619,619,34.25,-118.25
620,620,34.25,-117.75
621,621,34.25,-117.25
622,622,34.25,-116.75
623,623,34.25,-116.25
624,624,34.25,-115.75
625,625,34.25,-115.25
626,626,34.25,-114.75
627,627,34.25,-114.25
628,628,34.25,-113.75
629,629,34.25,-113.25
630,630,34.25,-112.75
631,631,34.25,-112.25
632,632,34.25,-111.75
633,633,34.25,-111.25
634,634,34.25,-110.75
635,635,34.25,-110.25
636,636,34.25,-109.75
637,637,34.25,-109.25
638,638,34.25,-108.75
639,639,34.25,-108.25
640,640,34.25,-107.75
641,641,34.25,-107.25
642,642,34.25,-106.75
643,643,34.25,-106.25
644,644,34.25,-105.75
645,645,34.25,-105.25
646,646,34.25,-104.75
647,647,34.25,-104.25
648,648,34.25,-103.75
649,649,34.25,-103.25
650,650,34.25,-102.75
651,651,34.25,-102.25
652,652,34.25,-101.75
653,653,34.25,-101.25
654,654,34.25,-100.75
655,655,34.25,-100.25
656,656,34.25,-99.75
657,657,34.25,-99.25
658,658,34.25,-98.75
659,659,34.25,-98.25
660,660,34.25,-97.75
661,661,34.25,-97.25
662,662,34.25,-96.75
663,663,34.25,-96.25
664,664,34.25,-95.75
665,665,34.25,-95.25
666,666,34.25,-94.75
667,667,34.25,-94.25
668,668,34.25,-93.75
669,669,34.25,-93.25
670,670,34.25,-92.75
671,671,34.25,-92.25
672,672,34.25,-91.75
673,673,34.25,-91.25
674,674,34.25,-90.75
675,675,34.25,-90.25
676,676,34.25,-89.75
677,677,34.25,-89.25
678,678,34.25,-88.75
679,679,34.25,-88.25
680,680,34.25,-87.75
681,681,34.25,-87.25
682,682,34.25,-86.75
683,683,34.25,-86.25
684,684,34.25,-85.75
685,685,34.25,-85.25
686,686,34.25,-84.75
687,687,34.25,-84.25
688,688,34.25,-83.75
689,689,34.25,-83.25
690,690,34.25,-82.75
691,691,34.25,-82.25
692,692,34.25,-81.75
693,693,34.25,-81.25
694,694,34.25,-80.75
695,695,34.25,-80.25
696,696,34.25,-79.75
697,697,34.25,-79.25
698,698,34.25,-78.75
699,699,34.25,-78.25
700,700,34.25,-77.75
701,701,34.75,-120.25
702,702,34.75,-119.75
703,703,34.75,-119.25
704,704,34.75,-118.75
705,705,34.75,-118.25
706,706,34.75,-117.75
707,707,34.75,-117.25
708,708,34.75,-116.75
709,709,34.75,-116.25
710,710,34.75,-115.75
711,711,34.75,-115.25
712,712,34.75,-114.75
713,713,34.75,-114.25
714,714,34.75,-113.75
715,715,34.75,-113.25
716,716,34.75,-112.75
717,717,34.75,-112.25
718,718,34.75,-111.75
719,719,34.75,-111.25
720,720,34.75,-110.75
721,721,34.75,-110.25
722,722,34.75,-109.75
723,723,34.75,-109.25
724,724,34.75,-108.75
725,725,34.75,-108.25
726,726,34.75,-107.75
727,727,34.75,-107.25
728,728,34.75,-106.75
729,729,34.75,-106.25
730,730,34.75,-105.75
731,731,34.75,-105.25
732,732,34.75,-104.75
733,733,34.75,-104.25
734,734,34.75,-103.75
735,735,34.75,-103.25
736,736,34.75,-102.75
737,737,34.75,-102.25
738,738,34.75,-101.75
739,739,34.75,-101.25
